AAA	Anaa, French Polynesia
TWF	Twin Falls, ID [Twin Falls-Sun Valley Regional Airport/Joslin Field], USA
TWH	Avalon (Catalina Island), CA [Two Harbors Amphibious Terminal], USA
TWM	Two Harbors, MN [Richard B. Helgeson Airport], USA
TWN	Tewantin, Queensland, Australia
TWO	Port Townsend, WA [Jefferson County International Airport], USA
TWP	Torwood, Queensland, Australia
TWT	Tawi Tawi, Philippines
TWU	Tawau, Sabah, Malaysia
TWY	Tawa, Tibet, China
TXG	Taichung, Taiwan
TXK	Texarkana, AR [Texarkana Regional Airport-Webb Field], USA
TXL	Berlin [Tegel], Germany
TXM	Teminabuan, Indonesia
TXN	Tunxi, China
TXR	Tanbar, Queensland, Australia
TXU	Tabou, Ivory Coast
TYA	Yalova/Asagisoloz [Yalova Airport], Turkey
TYB	Tibooburra, New South Wales, Australia
TYE	Tyonek, AK [Tyonek Airport], USA
TYF	Torsby [Fryklanda], Sweden
TYG	Thylungra, Queensland, Australia
TYL	Talara [Capitan Montes], Peru
TYM	Staniel Cay, Bahamas
TYN	Taiyuan [Wuau], China
TYO	Tokyo [Metropolitan Area], Japan
TYP	Tobermory, United Kingdom
TYR	Tyler, TX [Tyler Pounds Field], USA
TYS	Knoxville, TN [McGhee Tyson Airport], USA
TYT	Treinta y Tres, Uruguay
TYZ	Taylor, AZ [Taylor Airport], USA
TZA	Belize City [Belize City Municipal Airstrip], Belize
TZM	Tizimin, Mexico
TZN	South Andros, Andros [Congo Town], Bahamas
TZV	Tompkinsville, KY [Tompkinsville-Monroe County Airport], USA
TZX	Trabzon [Trabzon Air Base], Turkey
UAC	San Luis Rio Colorado, Mexico
UAE	Mount Aue, Papua New Guinea
UAH	Ua Huka, Marquesas Islands, French Polynesia
UAI	Suai, Indonesia
UAK	Narssarssuaq, Greenland
UAL	Luau, Angola
UAM	Guam, Andersen Island [Andersen Air Force Base], Guam
UAP	Ua Pu, Marquesas Islands, French Polynesia
UAQ	San Juan, Argentina
UAS	Samburu, Kenya
UAX	Uaxactun, Guatemala
UBA	Uberaba, MG, Brazil
UBB	Mabuiag Island, Queensland, Australia
UBE	Cumberland, WI [Cumberland Municipal Airport], USA
UBI	Buin, Papua New Guinea
UBJ	Ube, Japan
UBP	Ubon Ratchathni, Thailand
UBS	Columbus, MS [Columbus-Lowndes County Airport], USA
UBT	Ubatuba, Brazil
UBU	Kalumburu, Western Australia, Australia
UBX	Cuba, MO [Cuba Municipal Airport], USA
UCA	Utica, NY [Oneida County Airport], USA
UCC	Yucca Flats, NV, USA
UCE	Eunice, LA [Eunice Airport], USA
UCK	Luts'k, Volyn, Ukraine
UCN	Buchanan, Liberia
UCT	Ukhta, Komi [Ust-Ukhta], Russia
UCY	Union City, TN [Everett-Stewart Airport], USA
UCZ	Uchiza, Peru
UDA	Undarra, Australia
UDD	Palm Springs, CA [Bermuda Dunes Airport], USA
UDI	Uberlandia, MG, Brazil
UDJ	Uzhgorod, Zakarpats'ka (Transcarpathia), Ukraine
UDN	Udine [Rivolto], Italy
UDO	Udomxay, Laos
UDR	Udaipur, India
UEE	Queenstown, Tasmania, Australia
UEL	Quelimane, Mozambique
UEO	Kume Jima, Japan
UES	Waukesha, WI [Waukesha County Airport], USA
UET	Quetta, Pakistan
UFA	Ufa, Bashkortostan, Russia
UGA	Ugashik, AK [Ugashik (New) Airport], USA
UGB	Pilot Point, AK [Ugashik Bay Airport], USA
UGC	Urgench, Karakalpakstan, Uzbekhistan
UGI	Uganik, AK, USA
UGN	Chicago/Waukegan, IL [Waukegan Regional Airport], USA
UGO	Uige, Angola
UHE	Uherske Hradiste, Slovakia
UHF	Upper Heyford, England [Upper Heyford RAF Station], United Kingdom
UIB	Quibdo, Colombia
UIH	Quy Nhon, Vietnam
UII	Utila Island, Honduras
UIK	Ust'Ilimsk, Irkutsk, Russia
UIL	Quillayute, WA [Quillayute State Airport], USA
UIN	Quincy, IL [Quincy Municipal Baldwin Field], USA
UIO	Quito [Mariscal Sucre], Ecuador
UIP	Quimper [Pluguffan], France
UIQ	Quine Hill, Vanuatu
UIR	Quirindi, New South Wales, Australia
UIT	Jabor Jaluit [Jaluit Airport], Marshall Islands
UIZ	Utica, MI [Berz-Macomb Airport], USA
UJE	Ujae Island, Marshall Islands
UKB	Kobe, Japan
UKF	North Wilkesboro, NC [Wilkes County Airport], USA
UKI	Ukiah, CA [Ukiah Municipal Airport], USA
UKK	Oskeman (Ust Kamenogorsk), East Kazakhstan, Kazakhstan
UKL	Burlington, KS [Coffey County Airport], USA
UKN	Waukon, IA [Waukon Municipal Airport], USA
UKR	Mukeiras, Yemen
UKT	Quakertown, PA [Quakertown Airport], USA
UKU	Nuku, Papua New Guinea
UKY	Kyoto, Japan
ULA	San Julian [Capitan Jose D. Vasquez], Argentina
ULB	Ulei, Vanuatu
ULC	Santiago de Chile, Chile
ULD	Ulundi, South Africa
ULE	Sule, Papua New Guinea
ULI	Ulithi Island [Ulithi Airport], Micronesia
ULK	Ul Kmars, Kuwait
ULL	Mull, United Kingdom
ULM	New Ulm, MN [New Ulm Municipal Airport], USA
ULN	Ulan Bator, Mongolia
ULP	Quilpie, Queensland, Australia
ULQ	Tulua, Colombia
ULS	Mulatos, Colombia
ULU	Gulu, Uganda
ULY	Simbirsk (Ulyanovsk), Ul'yanovsk, Russia
UMA	Punta de Maisi, Cuba
UMB	Umnak, AK, USA
UMC	Umba, Papua New Guinea
UMD	Uummannaq, Greenland
UME	Umea, Sweden
UMI	Quince Mil, Peru
UMM	Summit, AK [Summit Airport], USA
UMP	Indianapolis, IN [Indianapolis Metropolitan Airport], USA
UMR	Woomera, South Australia, Australia
UMT	Umiat, AK [Umiat Airport], USA
UMU	Umuarama, PR, Brazil
UMY	Sumy, Sumy, Ukraine
UNC	Unguia, Colombia
UND	Kunduz, Afghanistan
UNE	Oachas Neck, Lesotho
UNG	Kiunga, Papua New Guinea
UNI	Union Island, St. Vincent and the Grenadines
UNK	Unalakleet, AK [Unalakleet Airport], USA
UNL	Unalaska, AK, USA
UNO	West Plains, MO [West Plains Municipal Airport], USA
UNS	Umnak Island, AK, USA
UNT	Unst, Shetland Islands, United Kingdom
UNU	Juneau, WI [Dodge County Airport], USA
UNV	State College, PA [University Park], USA
UOL	Buol, New Guinea, Indonesia
UON	Muong Sai, Laos
UOS	Sewanee, TN [Franklin County Airport], USA
UOX	Oxford, MS [University-Oxford Airport], USA
UPA	Punta Alegre, Cuba
UPC	Puerto de la Cruz, Canary Islands, Spain
UPF	Pforzheim, Germany
UPG	Ujung Pandang [Hasanuddin], Indonesia
UPL	Upala, Costa Rica
UPN	Uruapan, Mexico
UPP	Hawi, HI [Upolu Airport], USA
UPR	Upiara, Papua New Guinea
UPV	Upavon, England, United Kingdom
UQE	Queens, AK [The Queens Airport], USA
URA	Oral (Uralsk), West Kazakhstan, Kazakhstan
URB	Urubupunga, MT, Brazil
URC	Urumqi [Diwopu], China
URE	Greenfield, MA, USA
URG	Uruguaiana, RS [Rubem Berta], Brazil
URI	Uribe, Colombia
URM	Uriman, Venezuela
URN	Urgoon, Afghanistan
URO	Rouen, France
URR	Urrao, Colombia
URS	Kursk, Kursk, Russia
URT	Surat Thani, Thailand
URY	Gurayat, Saudi Arabia
URZ	Uruzgan, Afghanistan
USE	Wauseon, OH [Fulton County Airport], USA
USH	Ushuaia, Argentina
USI	Mabaruma, Guyana
USK	Usinsk, Russia
USL	Useless Loop, Western Australia, Australia
USM	Koh Samui, Thailand
USN	Ulsan, South Korea
USO	Usino, Papua New Guinea
UST	St. Augustine, FL [St. Augustine Airport], USA
UTA	Mutare, Zimbabwe
UTB	Muttaburra, Queensland, Australia
UTD	Nutwood Downs, Northern Territory, Australia
UTE	Butterworth, South Africa
UTH	Udon Thani, Thailand
UTI	Kouvola [Kymi], Finland
UTK	Utirik [Utirik Island Airport], Marshall Islands
UTL	Torremolinos, Spain
UTN	Upington, South Africa
UTO	Utopia Creek, AK [Indian Mountain LRRS], USA
UTP	U-Taphao (Utapao), Pattaya [Rayong], Thailand
UTR	Uttaradit, Thailand
UTT	Umtata, Transkei, South Africa
UTU	Ustuop, Panama
UTW	Queenstown, South Africa
UTX	Jupiter, FL [William P. Gwinn Airport], USA
UUA	Bugulma, Tatarstan, Russia
UUD	Ulan Ude, Buryatia [Mukhino], Russia
UUK	Kuparuk, AK [Ugnu-Kuparuk Airport], USA
UUS	Yuzhno Sakhalinsk, Sakhalin, Russia
UUU	Manumu, Papua New Guinea
UUV	Sullivan, MO [Sullivan Regional Airport], USA
UVA	Uvalde, TX [Garner Field], USA
UVE	Ouvea (Uvea), Loyalty Islands, New Caledonia
UVF	St. Lucia (Vieux Fort) [Hewanorra], St. Lucia
UVL	New Valley, Egypt
UVO	Uvol, Papua New Guinea
UWA	Ware, MA [Ware Airport], USA
UWE	Wiesbaden, Germany
UWL	New Castle, IN [New Castle-Henry County Municipal Airport], USA
UWP	Wuppertal, Germany
UYF	London, OH [Madison County Airport], USA
UYL	Nyala, Sudan
UYN	Yulin, China
UZH	Unayzah, Saudi Arabia
UZU	Curuzu Cuatia, Argentina
VAA	Vaasa, Finland
VAB	Yavarate, Colombia
VAC	Varrelbusch, Germany
VAD	Valdosta, GA [Moody Air Force Base], USA
VAE	Valles, Mexico
VAF	Valence, France
VAG	Varginha, MG, Brazil
VAI	Vanimo, Papua New Guinea
VAK	Chevak, AK [Chevak Airport], USA
VAL	Valenca, BA, Brazil
VAN	Van, Turkey
VAO	Suavanao, Solomon Islands
VAP	Valparaiso, Chile
VAR	Varna, Bulgaria
VAS	Sivas, Turkey
VAT	Vatomandry, Madagascar
VAU	Vatukoula, Fiji
VAV	Vava'u [Lupepau'u], Tonga
VAW	Vardo (Vardoe) [Svartnes], Norway
VAZ	Val d'Isere, France
VBG	Lompoc, CA [Vandenberg Air Force Base], USA
VBV	Vanuabalavu, Fiji
VBW	Bridgewater, VA [Bridgewater Air Park], USA
VBY	Visby, Sweden
VCA	Can Tho, Vietnam
VCB	View Cove, AK, USA
VCC	Victoria, Cameroon
VCD	Victoria River Downs, Northern Territory, Australia
VCE	Venezia (Venice) [Marco Polo (Tessera)], Italy
VCF	Valcheta, Argentina
VCH	Vichadero, Uruguay
VCP	Sao Paulo/Campinas, SP [Viracopos], Brazil
VCR	Carora, Venezuela
VCT	Victoria, TX [Victoria Regional Airport], USA
VCV	Victorville, CA [George Air Force Base], USA
VCW	Colonial Williamsburg, VA, USA
VDA	Ovda [Eilat/International], Israel
VDB	Fagernes [Leirin], Norway
VDC	Vitoria da Conquista, BA, Brazil
VDE	Valverde, Spain
VDI	Vidalia, GA [Vidalia Municipal Airport], USA
VDM	Viedma [Gobernador Castello], Argentina
VDP	Valle de Pascua, Venezuela
VDR	Villa Dolores, Argentina
VDS	Vadsoe (Vadso), Norway
VDU	Refugio, TX [Tom O'Conner Airport], USA
VDZ	Valdez, AK [Valdez Airport], USA
VEE	Venetie, AK [Venetie Airport], USA
VEG	Maikwak, Guyana
VEJ	Vejle, Denmark
VEK	Velikiye Luki (Welikije Luki), Pskov, Russia
VEL	Vernal, UT [Vernal Airport], USA
VER	Veracruz [General Heriberto Jara], Mexico
VES	Versailles, OH [Darke County Airport], USA
VEV	Barakoma, Solomon Islands
VEX	Tioga, ND [Tioga Municipal Airport], USA
VEY	Vestmannaeyjar, Iceland
VFA	Victoria Falls, Zimbabwe
VGA	Vijayawada, India
VGG	Vangrieng, Laos
VGN	Vigan, Philippines
VGO	Vigo, Spain
VGS	General Villega, Argentina
VGT	Las Vegas, NV [North Las Vegas Air Terminal], USA
VGZ	Villagarzon, Colombia
VHC	Saurimo, Angola
VHM	Vilhelmina, Sweden
VHN	Van Horn, TX [Culberson County Airport], USA
VHY	Vichy [Charmeil], France
VHZ	Vahitahi, French Polynesia
VIB	Villa Constitucion, Mexico
VIC	Vicenza [Trissino], Italy
VID	Vidin, Bulgaria
VIE	Wien (Vienna) [Schwechat], Austria
VIG	El Vigia, Venezuela
VIH	Rolla/Vichy, MO [Rolla National Airport], USA
VIJ	Virgin Gorda (Valley), Virgin Gorda, British Virgin Islands
VIK	Kavik, AK, USA
VIL	Dakhla (Villa Cisneros), Western Sahara, Morocco
VIN	Vinnytsya, Vinnytsya, Russia
VIQ	Viqueque, Indonesia
VIS	Visalia, CA [Visalia Municipal Airport], USA
VIT	Vitoria, Spain
VIU	Viru, Solomon Islands
VIV	Vivigani, Papua New Guinea
VIX	Vitoria, ES, Brazil
VIZ	Vizag, India
VJB	Xai-Xai (Vila de Joao Belo), Mozambique
VJI	Abingdon, VA [Virginia Highlands Airport], USA
VJQ	Vila Junqueiro, Mozambique
VKG	Rach Gia, Vietnam
VKK	Kung Kuan, Taiwan
VKO	Moscow (Moskva), Moscow [Vnukovo], Russia
VKS	Vicksburg, MS [Vicksburg Municipal Airport], USA
VKT	Vorkuta, Komi, Russia
VKW	West Kavi, AK, USA
VKX	Friendly, MD [Potomac Airfield], USA
VLA	Vandalia, IL [Vandalia Municipal Airport], USA
VLC	Valencia, Spain
VLD	Valdosta, GA [Valdosta Regional Airport], USA
VLG	Villa Gesell, Argentina
VLI	Port Vila, Efate Is. [Bauerfield], Vanuatu
VLK	Volgodonsk, Rostov, Russia
VLL	Valladolid, Spain
VLM	Villa Montes, Bolivia
VLN	Valencia [Zim Valencia Carabobo], Venezuela
VLO	Vallejo, Mexico
VLP	Vila Rica, Brazil
VLR	Vallenar, Chile
VLS	Valesdir, Vanuatu
VLU	Velikiye Luki, Pskov, Russia
VLV	Valera, Venezuela
VME	Villa Mercedes, Argentina
VMR	Vermillion, SD [Harold Davidson Field], USA
VMU	Baimuru, Papua New Guinea
VNA	Saravane, Laos
VNC	Venice, FL [Venice Municipal Airport], USA
VNE	Vannes, France
VNJ	Vanji, China
VNO	Vilnius, Lithuania
VNR	Vanrook, Queensland, Australia
VNS	Varanasi, India
VNW	Van Wert, OH [Van Wert County Airport], USA
VNX	Vilanculos, Mozambique
VNY	Los Angeles (Van Nuys), CA [Van Nuys Airport], USA
VOG	Volgograd (Stalingrad), Volgograd, Russia
VOH	Vohemar, Madagascar
VOI	Voinjama, Liberia
VOK	Camp Douglas, WI [Volk Field], USA
VOL	Volos, Greece
VOT	Votuporanga, SP, Brazil
VOZ	Voronezh, Voronezh, Russia
VPC	Cartersville, GA [Cartersville Airport], USA
VPE	Ongiva (Ondjiva) [Ngiva], Angola
VPN	Vopnafjordur, Iceland
VPS	Fort Walton Beach (Valparaiso), FL [Eglin Air Force Base/Okaloosa County Airport], USA
VPZ	Valparaiso, IN [Porter County Municipal Airport], USA
VQS	Vieques [Antonio Rivera Rodriguez Airport], Puerto Rico
VRA	Varadero, Cuba
VRB	Vero Beach, FL [Vero Beach Municipal Airport], USA
VRC	Virac, Philippines
VRE	Vredendal, South Africa
VRK	Varkaus, Finland
VRL	Vila Real, Portugal
VRN	Verona [Villafranca], Italy
VRS	Versailles, France
VRU	Vryburg, South Africa
VRY	Vaeroy, Norway
VSA	Villahermosa [C.P.A. Carlos Rovirosa], Mexico
VSE	Viseu, Portugal
VSF	Springfield, VT [Hartness State (Springfield) Airport], USA
VSG	Luhansk, Luhansk, Ukraine
VSO	Phuoclong, Vietnam
VST	Vasteras [Hasslo], Sweden
VTA	Victoria, Honduras
VTB	Vitsyebsk (Vitebsk), Vitsyebsk, Belarus
VTE	Vientiane [Wattay], Laos
VTF	Vatulele, Fiji
VTI	Vinton, IA [Vinton Veterans Memorial Airpark], USA
VTL	Vittel, France
VTN	Valentine, NE [Miller Field], USA
VTU	Las Tunas, Cuba
VTZ	Vishakhapatnam, India
VUP	Valledupar, Colombia
VVB	Mahanoro, Madagascar
VVC	Villavicencio [La Vanguardia], Colombia
VVI	Santa Cruz [Viru Viru International], Bolivia
VVK	Vastervik, Sweden
VVO	Vladivostok, Primor'ye, Russia
VVV	Ortonville, MN [Ortonville Municipal Airport-Martinson Field], USA
VVZ	Illizi, Algeria
VXC	Lichinga (Vila Cabral), Mozambique
VXE	Sao Vicente, Sao Vicente, Cape Verde
VXO	Vaxjo, Sweden
VXX	Ciudad de Mexico (Mexico City) [Sertel], Mexico
VYD	Vryheid, South Africa
VYS	Peru, IL [Illinois Valley Regional Airport-Walter A. Duncan Field], USA
WAA	Wales, AK [Wales Airport], USA
WAB	Wabag, Papua New Guinea
WAC	Waca, Ethiopia
WAD	Andriamena, Madagascar
WAE	Wadi Ad Dawasir, Saudi Arabia
WAF	Wana, Pakistan
WAG	Wanganui, New Zealand
WAH	Wahpeton, ND [Harry Stern Airport], USA
WAI	Antsohihy, Madagascar
WAJ	Wawoi Falls, Papua New Guinea
WAK	Ankazoabo, Madagascar
WAL	Chincoteague, VA, USA
WAM	Ambatondrazaka, Madagascar
WAN	Waverney, United Kingdom
WAO	Wabo, Papua New Guinea
WAP	Alto Palena, Chile
WAQ	Antsalova, Madagascar
WAR	Waris, Indonesia
WAS	Washington, DC [Metropolitan Area], USA
WAT	Waterford, Ireland
WAU	Wauchope, New South Wales, Australia
WAV	Wave Hill, Northern Territory, Australia
WAW	Warszawa (Warsaw) [Okecie], Poland
WAX	Warroad, MN [Warroad International Airport-Swede Carlson Field], USA
WAY	Waynesburg, PA [Greene County Airport], USA
WAZ	Warwick, Queensland, Australia
WBA	Warraber Island, Queensland, Australia
WBB	Stebbins, AK [Stebbins Airport], USA
WBD	Befandriana, Madagascar
WBE	Bealanana, Madagascar
WBM	Wapenamanda, Papua New Guinea
WBN	Woburn, MA, USA
WBO	Beroroha, Madagascar
WBQ	Beaver, AK [Beaver Airport], USA
WBR	Big Rapids, MI [Roben-Hood Airport], USA
WBU	Boulder, CO [Boulder Municipal Airport], USA
WBW	Wilkes-Barre, PA [Wilkes-Barre Wyoming Valley Airport], USA
WBX	Yaquara, Colombia
WCA	Castro, Chile
WCH	Chaiten, Chile
WCJ	Caleta Josefina, Chile
WCO	Coolullah, Australia
WCR	Chandalar Lake, AK [Chandalar Lake Airport], USA
WCY	Alcoota, Northern Territory, Australia
WDA	Wadi Ain, Yemen
WDB	Deep Bay, AK, USA
WDG	Enid, OK [Enid Woodring Municipal Airport], USA
WDH	Windhoek [J. G. Strijdom International], Namibia
WDI	Wondai, Australia
WDO	Wando, Papua New Guinea
WDQ	Booneville, MS [Booneville/Baldwyn Airport], USA
WDR	Winder, GA [Winder Airport], USA
WDY	Havilar, China
WEA	Weatherford, TX [Parker County Airport], USA
WEB	Webequie, ON, Canada
WED	Wedau, Papua New Guinea
WEF	Weifang, China
WEH	Weihai, China
WEI	Weipa, Queensland, Australia
WEL	Welkom, South Africa
WEM	West Malling, England, United Kingdom
WEP	Weam, Papua New Guinea
WES	Weasua, Liberia
WET	Wagethe, Indonesia
WEW	Wee Waa, New South Wales, Australia
WEX	Wexford, Ireland
WFB	Ketchikan, AK [Ketchikan Harbor Seaplane Base], USA
WFI	Fianarantsoa, Madagascar
WFK	Frenchville, ME [Northern Aroostook Regional Airport], USA
WGA	Wagga Wagga, New South Wales, Australia
WGB	Bahawalnagar, Pakistan
WGC	Warrangal, India
WGE	Walgett, New South Wales, Australia
WGL	Baltra Island, Galapagos, Ecuador
WGN	Waitangi, New Zealand
WGO	Winchester, VA [Winchester Regional Airport], USA
WGP	Waingapu, Indonesia
WGT	Wangaratta, Victoria, Australia
WGY	Wagny, Gabon
WHA	West Houston, TX, USA
WHC	Fassama, Liberia
WHD	Hyder, AK [Hyder Seaplane Base], USA
WHF	Wadi Halfa, Sudan
WHK	Whakatane, New Zealand
WHL	Welshpool, Victoria, Australia
WHM	Wickham, Australia
WHO	Franz Josef, New Zealand
WHP	Los Angeles, CA [Whiteman Airport], USA
WHR	Vail, CO [Vail Junction Heliport], USA
WHS	Whalsay, United Kingdom
WHT	Wharton, TX [Wharton Municipal Airport], USA
WHU	Wuhu, China
WIC	Wick, United Kingdom
WID	Wildenrath, Germany
WIE	Wiesbaden [Wiesbaden Air Base], Germany
WIK	Surfdale, New Zealand
WIL	Nairobi [Wilson], Kenya
WIN	Winton, Queensland, Australia
WIO	Wilcannia, South Australia, Australia
WIT	Wittendom Gorge, Western Australia, Australia
WIU	Witu, Papua New Guinea
WIX	Tuxpan, Mexico
WJA	Woja, Marshall Islands
WJF	Lancaster/Palmdale, CA [General William J. Fox Airfield], USA
WJR	Wajir, Kenya
WKA	Wanaka, New Zealand
WKB	Warracknabeal, Victoria, Australia
WKC	Connellsville, PA [Connellsville Airport], USA
WKI	Teixeira Pinto, Guinea Bissau
WKJ	Wakkanai [Hokkaido Airport], Japan
WKK	Aleknagik, AK [Aleknagik Airport], USA
WKL	Waikoloa, HI [Waikoloa Airport], USA
WKM	Wankie [Wankie National Park Airport], Zimbabwe
WKN	Wakunai, Papua New Guinea
WKP	Grass Valley, CA [Nevada County Air Park], USA
WKR	Walker's Cay, Abaco, Bahamas
WKU	Tres Lagoas, MT, Brazil
WLA	Wallal, Australia
WLB	Labouchere Bay, AK, USA
WLC	Walcha, New South Wales, Australia
WLD	Winfield/Arkansas City, KS [Strother Field], USA
WLG	Wellington [International], New Zealand
WLH	Walaha, Vanuatu
WLK	Selawik, AK [Selawik Airport], USA
WLL	Wollogorang, Australia
WLM	Waltham, MA [Prospect Hill Airport], USA
WLN	Little Naukati, AK, USA
WLO	Waterloo, Northern Territory, Australia
WLR	Loring, AK [Loring Seaplane Base], USA
WLS	Wallis Island [Hihifo], Wallis and Futuna Islands
WLW	Willows, CA [Willows-Glenn County Airport], USA
WMA	Mandritsara, Madagascar
WMB	Warrnambool, Victoria, Australia
WMC	Winnemucca, NV [Winnemucca Municipal Airport], USA
WMD	Mandabe, Madagascar
WME	Warramboor/Mt. Keith, Western Australia, Australia
WMH	Mountain Home, AR [Baxter County Regional Airport], USA
WMK	Meyers Chuck, AK [Meyers Chuck Seaplane Base], USA
WML	Malaimbandy, Madagascar
WMN	Maroantsetra, Madagascar
WMO	White Mountain, AK [White Mountain Airport], USA
WMP	Mampikony, Madagascar
WMR	Mananara, Madagascar
WMV	Madirovalo, Madagascar
WMX	Wamena, Indonesia
WNA	Napakiak, AK [Napakiak Airport], USA
WNC	Tuxekan Island, AK [Nichin Cove Seaplane Base], USA
WND	Windarra, Western Australia, Australia
WNE	Wora Na Ye, Gabon
WNN	Wunnummin Lake, ON, Canada
WNP	Naga, Philippines
WNQ	Labamba, Gabon
WNR	Windorah Park, Queensland, Australia
WNS	Nawab Shah, Pakistan
WNT	Hierro, Canary Islands, Spain
WNU	Wanuma, Papua New Guinea
WNY	Wynyard, Tasmania, Australia
WNZ	Wenzhou, China
WOA	Wonenara, Papua New Guinea
WOB	Suttonhead, England [Woodbridge RAF Station], United Kingdom
WOD	Wood River, AK, USA
WOE	Woensdrecht, Netherlands
WOG	Woodgreen, Northern Territory, Australia
WOI	Wologissi, Liberia
WOK	Wonken, Venezuela
WOL	Wollongong, New South Wales, Australia
WON	Wondoola, Australia
WOO	Woodchopper, AK [Woodchopper Airport], USA
WOT	Wonan, Taiwan
WOW	Willow, AK [Willow Airport], USA
WPA	Puerto Aisen, Chile
WPB	Port Berge, Madagascar
WPC	Pincher Creek, AB [Pincher Creek Airport], Canada
WPK	Wrotham, Queensland, Australia
WPL	Powell Lake, BC [Powell Lake Water Aerodrome], Canada
WPM	Wipim, Papua New Guinea
WPO	Paonia, CO [North Fork Valley Airport], USA
WPR	Porvenir, Chile
WPS	Persepolis, Iran
WPU	Puerto Williams, Chile
WPW	Keekorok, Kenya
WRA	Warder, Ethiopia
WRB	Warner Robins, GA [Robins Air Force Base], USA
WRE	Whangarei, New Zealand
WRG	Wrangell, AK [Wrangell Airport], USA
WRI	Wrightstown, NJ [McGuire Air Force Base], USA
WRK	Dallas, TX [White Rock Airport], USA
WRL	Worland, WY [Worland Municipal Airport], USA
WRO	Wroclaw, Poland
WRR	Werur, Indonesia
WRW	Warranagine, Western Australia, Australia
WRY	Westray, United Kingdom
WSA	Wasua, Papua New Guinea
WSB	Steamboat Bay, AK [Steamboat Bay Seaplane Base], USA
WSD	White Sands, NM [Condron Army Air Field], USA
WSE	Santa Cecilia, Ecuador
WSF	Sarichef, AK, USA
WSG	Washington, PA [Washington County Airport], USA
WSH	Shirley, NY [Brookhaven Airport], USA
WSJ	San Juan, AK [San Juan (Uganik) Seaplane Base], USA
WSK	Arlington, TX [Arlington Municipal Airport], USA
WSL	Dallas, TX [North Dallas Heliport], USA
WSM	Wiseman, AK [Wiseman Airport], USA
WSN	South Naknek, AK [South Naknek nr. 2 Airport], USA
WSO	Washabo, Suriname
WSP	Wespam, Nicaragua
WSR	Wasior, Indonesia
WSS	New York, NY [Wall St. Seaplane Dock], USA
WST	Westerly, RI [Westerly State Airport], USA
WSU	Wasu, Papua New Guinea
WSX	Westsound, WA [Westsound Seaplane Base], USA
WSY	Airlie Beach, Queensland, Australia
WSZ	Westport, New Zealand
WTA	Tambohorano, Madagascar
WTC	New York, NY [World Trade Center], USA
WTD	West End, Bahamas
WTE	Wotje [Wotje Airport], Marshall Islands
WTK	Noatak, AK [Noatak Airport], USA
WTL	Tuntatuliak, AK, USA
WTN	Waddington, England [Waddington RAF Station], United Kingdom
WTO	Wotho, Marshall Islands
WTP	Woitape, Papua New Guinea
WTR	Whiteriver, AZ [Whiteriver Airport], USA
WTS	Tsiroanomandidy, Madagascar
WTT	Wantoat, Papua New Guinea
WTZ	Whittanga, New Zealand
WUD	Wudinna, South Australia, Australia
WUG	Wau, Papua New Guinea
WUH	Wuhan, China
WUM	Taguac, Guam
WUN	Wiluna, Western Australia, Australia
WUS	Wuyishan, China
WUU	Wau, Sudan
WUV	Wuvulu Island, Papua New Guinea
WUX	Wuxi, China
WUZ	Wuzhou, China
WVB	Walvis Bay, Namibia
WVI	Watsonville, CA [Watsonville Municipal Airport], USA
WVK	Manakara, Madagascar
WVL	Waterville, ME [Waterville Robert Lafleur Airport], USA
WVN	Wilhemshaven, Germany
WVV	Volovan, Madagascar
WWA	Wasilla, AK [New Wasilla Airport], USA
WWD	Cape May (Wildwood), NJ [Cape May County Airport], USA
WWK	Wewak, Papua New Guinea
WWN	Gaviotas, Colombia
WWP	Whale Pass, AK [North Whale Seaplane Base], USA
WWR	Woodward, OK [West Woodward Airport], USA
WWS	Wildwood, AK, USA
WWT	Newtok, AK [Newtok Seaplane Base], USA
WWU	Ingenika, BC [Ingenika Airport], Canada
WWY	West Wyalong, New South Wales, Australia
WXF	Braintree, England [wethersfield RAF Station], United Kingdom
WXH	Tanga Island, Papua New Guinea
